Facility Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,Coal Mill 1,327310.0,3195.6,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP- Raw Mill #1,327310.0,606.9,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP-Raw Mill #2,327310.0,1257.3,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Aux Bldging Heat-hot water,327310.0,56.3,Natural Gas (Weighted U.S. Average)
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Heating,327310.0,7.8,Propane Gas
1002308,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-River Plant Heating,327310.0,286.7,Natural Gas (Weighted U.S. Average)
1007927,CalPortland Company Oro Grande Plant,34.6045,-117.3382,GP-Office Heating,327310.0,244.6,Natural Gas (Weighted U.S. Average)
1005662,Mitsubishi Cement Corp Cushenbury Cement Plant,34.437557,-116.891034,CP-MCC non kiln natural gas,327310.0,423.8,Natural Gas (Weighted U.S. Average)
1006842,CalPortland Company Mojave Plant,35.03837,-118.2977,CP- Other NG Devices,327310.0,834.3,Natural Gas (Weighted U.S. Average)
1006669,CalPortland Company Rillito Plant,32.4108,-111.15055,CP- Other Gas Devices,327310.0,1054.4,Natural Gas (Weighted U.S. Average)
1006669,CalPortland Company Rillito Plant,32.4108,-111.15055,GP-Maintenance/Garage Buildings,327310.0,42.6,Propane Gas
1003643,PHOENIX CEMENT COMPANY\S CLARKDALE FACILITY,34.779716,-112.083801,CP-1,327310.0,957.9,Natural Gas (Weighted U.S. Average)
1003008,Holcim (US) Inc. - Portland Plant,38.328631,-105.008989,GP-Non-Kiln Combustion Units,327310.0,804.5,Natural Gas (Weighted U.S. Average)
1006642,NATIONAL CEMENT CO OF CALIFORNIA INC,34.819863,-118.748732,53HE01 and 53HE02,327310.0,739.0,Natural Gas (Weighted U.S. Average)
