FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
48141,NM_S_TX_EPE,7333,436.0,142.0,578,284395.5876321971,22416.562068922663,261979.0255632744
48229,NM_S_TX_EPE,18376,741.0,9954.0,10695,591812.8425317211,344440.4849192837,247372.3576124374
48141,NM_S_TX_EPE,23361,0.0,0.0,0,4837347.263474468,0.0,4837347.263474468
48141,NM_S_TX_EPE,5512,0.0,0.0,0,215021.90960269427,0.0,215021.90960269427
48229,NM_S_TX_EPE,1141,0.0,0.0,0,138964.85826487877,0.0,138964.85826487877
48229,NM_S_TX_EPE,1141,0.0,0.0,0,11903.879851367641,0.0,11903.879851367641
48141,NM_S_TX_EPE,17552,421.0,281.0,702,1190262.790957784,47605.08655722222,1142657.7044005617
48141,NM_S_TX_EPE,9578,268.0,43.0,311,351912.67227559123,11426.690444530057,340485.9818310612
48229,NM_S_TX_EPE,1141,0.0,0.0,0,84103.49894988009,0.0,84103.49894988009
48229,NM_S_TX_EPE,17566,725.0,9723.0,10448,637437.9559322456,379138.7773870034,258299.17854524218
48141,NM_S_TX_EPE,17552,421.0,281.0,702,1289783.0912050903,51585.444965016715,1238197.6462400735
48141,NM_S_TX_EPE,14872,613.0,597.0,1210,546423.6022220289,44457.54160090472,501966.06062112417
48141,NM_S_TX_EPE,10350,336.0,119.0,455,377929.92779648805,16614.31083549778,361315.61696099024
48141,NM_S_TX_EPE,10700,0.0,0.0,0,223262.95251469547,0.0,223262.95251469547
48141,NM_S_TX_EPE,33729,1709.0,5187.0,6896,160645.2241291461,32844.42069419762,127800.8034349485
48229,NM_S_TX_EPE,18376,741.0,9954.0,10695,587645.1464575541,342014.84770154225,245630.29875601182
48229,NM_S_TX_EPE,2658,155.0,364.0,519,193510.7373208893,37784.82794188923,155725.90937900008
48229,NM_S_TX_EPE,18244,738.0,9913.0,10651,649628.0587072961,379258.30153976165,270369.7571675345
48229,NM_S_TX_EPE,18244,738.0,9913.0,10651,666179.0920501573,388920.93342612503,277258.1586240322
48141,NM_S_TX_EPE,51255,2327.0,1635.0,3962,23249.37552039967,1797.17151130277,21452.2040090969
48141,NM_S_TX_EPE,48360,2240.0,9194.0,11434,1776831.9932394647,420105.39724359056,1356726.5959958741
48141,NM_S_TX_EPE,2243,0.0,0.0,0,92077.37022630396,0.0,92077.37022630396
48229,NM_S_TX_EPE,18244,738.0,9913.0,10651,12413.275007145787,7246.973914772516,5166.301092373271
48229,NM_S_TX_EPE,18244,738.0,9913.0,10651,666179.0920501573,388920.93342612503,277258.1586240322
48141,NM_S_TX_EPE,4882,429.0,120.0,549,178266.0780195608,20046.717909205017,158219.3601103558
48141,NM_S_TX_EPE,1129,67.0,75.0,142,39945.107932444356,5024.09683472728,34921.01109771708
48141,NM_S_TX_EPE,5536,147.0,84.0,231,204658.0088732027,8539.739893372438,196118.26897983026
48141,NM_S_TX_EPE,7333,436.0,142.0,578,9978.792548498142,786.5460375060584,9192.246510992085
48141,NM_S_TX_EPE,12337,271.0,185.0,456,450485.17093963985,16650.825804367007,433834.34513527283
48229,NM_S_TX_EPE,17566,725.0,9723.0,10448,637437.9559322456,379138.7773870034,258299.17854524218
48141,NM_S_TX_EPE,4400,0.0,0.0,0,1995.8492301191793,0.0,1995.8492301191793
48141,NM_S_TX_EPE,1260,18.0,3.0,21,46008.86077522463,766.8143462537438,45242.04642897089
48141,NM_S_TX_EPE,421,37.0,55.0,92,190.96648315458512,41.73139299340102,149.2350901611841
48229,NM_S_TX_EPE,18244,738.0,9913.0,10651,662041.333714442,386505.27545453416,275536.0582599078
48109,NM_S_TX_EPE,649,61.0,77.0,138,19576.7861359315,4162.706451091752,15414.079684839748
48141,NM_S_TX_EPE,4043,297.0,230.0,527,39429.13554624878,5139.538568605764,34289.596977643014
48141,NM_S_TX_EPE,11690,436.0,83.0,519,471932.1585246126,20952.334497371594,450979.82402724103
48141,NM_S_TX_EPE,39949,695.0,45.0,740,1458736.4913567053,27021.076963227162,1431715.414393478
48141,NM_S_TX_EPE,2446,71.0,39.0,110,89870.36921968013,4041.594690991338,85828.7745286888
48141,NM_S_TX_EPE,1303,41.0,17.0,58,1773.1306001217893,78.92676500925846,1694.203835112531
48141,NM_S_TX_EPE,4400,0.0,0.0,0,2993.773845178769,0.0,2993.773845178769
48141,NM_S_TX_EPE,17015,886.0,355.0,1241,621302.1953098786,45315.076366709334,575987.1189431692
48141,NM_S_TX_EPE,26220,373.0,286.0,659,677926.4791777997,17038.655597946985,660887.8235798527
