Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1006468,110070752633.0,BP CHERRY POINT REFINERY,48.884,-122.735,Truck Rack Vapor Combustor,324110.0,3100.7,Fuel Gas,True,True
1006468,110070752633.0,BP CHERRY POINT REFINERY,48.884,-122.735,West Coker Heater,324110.0,62746.4,Fuel Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-1 RFG V-475,324110.0,445864.8,Fuel Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-2 RFG V-701,324110.0,466572.9,Fuel Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-3 RFG V-870,324110.0,600736.4,Fuel Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-4 Refinery NG Total,324110.0,587114.4,Natural Gas (Weighted U.S. Average),True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,CP-6 Cogen LPG,324110.0,0.0,Propane Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,EPA-Marine Loading ERD,324110.0,13757.5,Fuel Gas,True,True
1003610,110020506460.0,CHEVRON PRODS.CO. RICHMOND REFY,37.938779,-122.396453,GP-1 Diesel Engines,324110.0,3560.4,Distillate Fuel Oil No. 2,True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,CP-1 Total RFG Flow,324110.0,381937.6,Fuel Gas,True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,CP-2 NG to Ref Compressors,324110.0,4409.4,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,East Air Compressor,324110.0,30.5,Distillate Fuel Oil No. 2,True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Nat Gas to F68220,324110.0,705.9,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Nat Gas to F68250,324110.0,2357.5,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Nat Gas to SRU Main Burner,324110.0,452.5,Natural Gas (Weighted U.S. Average),True,True
