Facility Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type
1003689,Alon Bakersfield Refining,35.3809,-119.07242,GP-Area 2 Boilers,324110.0,11230.2,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,GP-Boiler and Heater Pilots,324110.0,42.1,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,GP-NG Office Uses,324110.0,52.3,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,HP Flare,324110.0,2912.8,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,HP Flare Pilot,324110.0,89.1,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,LP Flare,324110.0,3204.8,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,LP Flare Pilot,324110.0,41.3,Natural Gas (Weighted U.S. Average)
1003689,Alon Bakersfield Refining,35.3809,-119.07242,SVE TO,324110.0,8.9,Natural Gas (Weighted U.S. Average)
1006961,BIG SPRING REFINERY,32.269104,-101.417673,GP-1,324110.0,397715.1,Fuel Gas
1006961,BIG SPRING REFINERY,32.269104,-101.417673,GP-2,324110.0,13505.7,Natural Gas (Weighted U.S. Average)
1009068,BIG WEST OIL LLC,40.838386,-111.921443,Gasoline Combustion,324110.0,1.3,Motor Gasoline
1009068,BIG WEST OIL LLC,40.838386,-111.921443,GP-3 Comfort Heat,324110.0,161.5,Natural Gas (Weighted U.S. Average)
1009068,BIG WEST OIL LLC,40.838386,-111.921443,GP-North Fuel Gas Drum,324110.0,87769.6,Fuel Gas
1009068,BIG WEST OIL LLC,40.838386,-111.921443,GP-South Fuel Gas Drum,324110.0,57515.7,Fuel Gas
1009068,BIG WEST OIL LLC,40.838386,-111.921443,Load Rack,324110.0,8.3,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Boiler 12,324110.0,75.6,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Boiler 2.4,324110.0,5099.4,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Comfort Heaters,324110.0,959.8,Natural Gas (Weighted U.S. Average)
1006301,BORGER REFINERY,35.70306,-101.36305,Engines,324110.0,30.7,Natural Gas (Weighted U.S. Average)
1006301,BORGER REFINERY,35.70306,-101.36305,Knock Engine 1,324110.0,26.3,Natural Gas (Weighted U.S. Average)
1006301,BORGER REFINERY,35.70306,-101.36305,Knock Engine 1,324110.0,26.3,Motor Gasoline
1006301,BORGER REFINERY,35.70306,-101.36305,Knock Engine 2,324110.0,26.3,Natural Gas (Weighted U.S. Average)
1006301,BORGER REFINERY,35.70306,-101.36305,Knock Engine 2,324110.0,26.3,Motor Gasoline
1006301,BORGER REFINERY,35.70306,-101.36305,Skid Boiler,324110.0,50198.1,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 10 Crude Furnace,324110.0,40855.5,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 19.1 Naphtha HDS Charge Furnace,324110.0,29097.1,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 19.1 Reboiler,324110.0,5.9,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 19.2 Charge Furnace and Heaters,324110.0,45873.5,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 19.2 Platformer #1 Reheater,324110.0,23687.3,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 19.3 Charge and Frac Feed Furnace,324110.0,22858.0,Fuel Gas
1006301,BORGER REFINERY,35.70306,-101.36305,Unit 2.2 HDS Charge Heater,324110.0,12879.5,Fuel Gas
