datetime,hour_of_year,demand,normalized_demand
2050-01-01 00:00:00,1,22288.289526789857,0.501
2050-01-01 01:00:00,2,22288.289526789857,0.501
2050-01-01 02:00:00,3,20615.555622184467,0.4634
2050-01-01 03:00:00,4,19796.983711420133,0.44500000000000006
2050-01-01 04:00:00,5,19592.34073372905,0.44040000000000007
2050-01-01 05:00:00,6,19739.149826420475,0.4437
2050-01-01 06:00:00,7,19983.83164757286,0.44920000000000004
2050-01-01 07:00:00,8,20152.884542187236,0.453
2050-01-01 08:00:00,9,20210.718427186886,0.4543
2050-01-01 09:00:00,10,20215.167187571482,0.4544000000000001
2050-01-01 10:00:00,11,20224.064708340655,0.4546
2050-01-01 11:00:00,12,20246.3085102636,0.4551
2050-01-01 12:00:00,13,20255.206031032772,0.4552999999999999
2050-01-01 13:00:00,14,20192.923385648537,0.4539000000000001
2050-01-01 14:00:00,15,19992.72916834204,0.4494000000000001
2050-01-01 15:00:00,16,19667.969660267056,0.4421
2050-01-01 16:00:00,17,19338.761391807482,0.4346999999999999
2050-01-01 17:00:00,18,19120.772132962637,0.42980000000000007
2050-01-01 18:00:00,19,19009.553123347912,0.42729999999999996
2050-01-01 19:00:00,20,18951.719238348258,0.42599999999999993
2050-01-01 20:00:00,21,18965.06551950203,0.42630000000000007
2050-01-01 21:00:00,22,19200.849819885232,0.4316
2050-01-01 22:00:00,23,19881.510158727317,0.44689999999999996
2050-01-01 23:00:00,24,21282.86967987279,0.47840000000000005
2050-01-02 00:00:00,25,22288.289526789857,0.501
2050-01-02 01:00:00,26,22288.289526789857,0.501
2050-01-02 02:00:00,27,20615.555622184467,0.4634
2050-01-02 03:00:00,28,19796.983711420133,0.44500000000000006
2050-01-02 04:00:00,29,19592.34073372905,0.44040000000000007
2050-01-02 05:00:00,30,19739.149826420475,0.4437
2050-01-02 06:00:00,31,19983.83164757286,0.44920000000000004
2050-01-02 07:00:00,32,20152.884542187236,0.453
2050-01-02 08:00:00,33,20210.718427186886,0.4543
2050-01-02 09:00:00,34,20215.167187571482,0.4544000000000001
2050-01-02 10:00:00,35,20224.064708340655,0.4546
2050-01-02 11:00:00,36,20246.3085102636,0.4551
2050-01-02 12:00:00,37,20255.206031032772,0.4552999999999999
2050-01-02 13:00:00,38,20192.923385648537,0.4539000000000001
2050-01-02 14:00:00,39,19992.72916834204,0.4494000000000001
2050-01-02 15:00:00,40,19667.969660267056,0.4421
2050-01-02 16:00:00,41,19338.761391807482,0.4346999999999999
2050-01-02 17:00:00,42,19120.772132962637,0.42980000000000007
2050-01-02 18:00:00,43,19009.553123347912,0.42729999999999996
2050-01-02 19:00:00,44,18951.719238348258,0.42599999999999993
2050-01-02 20:00:00,45,18965.06551950203,0.42630000000000007
2050-01-02 21:00:00,46,19200.849819885232,0.4316
2050-01-02 22:00:00,47,19881.510158727317,0.44689999999999996
2050-01-02 23:00:00,48,21282.86967987279,0.47840000000000005
2050-01-03 00:00:00,49,33049.840897110145,0.7429
2050-01-03 01:00:00,50,33049.840897110145,0.7429
2050-01-03 02:00:00,51,33494.71693556903,0.7529
2050-01-03 03:00:00,52,33147.7136255711,0.7451
2050-01-03 04:00:00,53,33209.996270955344,0.7465
2050-01-03 05:00:00,54,34562.419427870336,0.7769
2050-01-03 06:00:00,55,37351.79218900751,0.8396
2050-01-03 07:00:00,56,40732.850081294986,0.9155999999999999
2050-01-03 08:00:00,57,43277.54102127979,0.9728000000000001
2050-01-03 09:00:00,58,44265.16582665849,0.995
2050-01-03 10:00:00,59,44291.85838896603,0.9956
2050-01-03 11:00:00,60,44314.102190888974,0.9961000000000001
2050-01-03 12:00:00,61,44487.603845887934,1.0
2050-01-03 13:00:00,62,44487.603845887934,1.0
2050-01-03 14:00:00,63,43909.2649958914,0.9870000000000001
2050-01-03 15:00:00,64,42819.318701667136,0.9625
2050-01-03 16:00:00,65,41444.6517428292,0.9316
2050-01-03 17:00:00,66,40096.6773462988,0.9013000000000001
2050-01-03 18:00:00,67,39126.84758245844,0.8795000000000001
2050-01-03 19:00:00,68,38681.971543999556,0.8694999999999999
2050-01-03 20:00:00,69,38548.508732461894,0.8665
2050-01-03 21:00:00,70,38286.031869771155,0.8606
2050-01-03 22:00:00,71,37400.72855323799,0.8407000000000001
2050-01-03 23:00:00,72,35487.7615878648,0.7976999999999999
2050-01-04 00:00:00,73,33049.840897110145,0.7429
2050-01-04 01:00:00,74,33049.840897110145,0.7429
2050-01-04 02:00:00,75,33494.71693556903,0.7529
2050-01-04 03:00:00,76,33147.7136255711,0.7451
2050-01-04 04:00:00,77,33209.996270955344,0.7465
2050-01-04 05:00:00,78,34562.419427870336,0.7769
2050-01-04 06:00:00,79,37351.79218900751,0.8396
2050-01-04 07:00:00,80,40732.850081294986,0.9155999999999999
2050-01-04 08:00:00,81,43277.54102127979,0.9728000000000001
2050-01-04 09:00:00,82,44265.16582665849,0.995
2050-01-04 10:00:00,83,44291.85838896603,0.9956
2050-01-04 11:00:00,84,44314.102190888974,0.9961000000000001
2050-01-04 12:00:00,85,44487.603845887934,1.0
2050-01-04 13:00:00,86,44487.603845887934,1.0
2050-01-04 14:00:00,87,43909.2649958914,0.9870000000000001
2050-01-04 15:00:00,88,42819.318701667136,0.9625
2050-01-04 16:00:00,89,41444.6517428292,0.9316
2050-01-04 17:00:00,90,40096.6773462988,0.9013000000000001
2050-01-04 18:00:00,91,39126.84758245844,0.8795000000000001
2050-01-04 19:00:00,92,38681.971543999556,0.8694999999999999
2050-01-04 20:00:00,93,38548.508732461894,0.8665
2050-01-04 21:00:00,94,38286.031869771155,0.8606
2050-01-04 22:00:00,95,37400.72855323799,0.8407000000000001
2050-01-04 23:00:00,96,35487.7615878648,0.7976999999999999
2050-01-05 00:00:00,97,33049.840897110145,0.7429
2050-01-05 01:00:00,98,33049.840897110145,0.7429
2050-01-05 02:00:00,99,33494.71693556903,0.7529
2050-01-05 03:00:00,100,33147.7136255711,0.7451
2050-01-05 04:00:00,101,33209.996270955344,0.7465
2050-01-05 05:00:00,102,34562.419427870336,0.7769
2050-01-05 06:00:00,103,37351.79218900751,0.8396
2050-01-05 07:00:00,104,40732.850081294986,0.9155999999999999
2050-01-05 08:00:00,105,43277.54102127979,0.9728000000000001
2050-01-05 09:00:00,106,44265.16582665849,0.995
2050-01-05 10:00:00,107,44291.85838896603,0.9956
2050-01-05 11:00:00,108,44314.102190888974,0.9961000000000001
2050-01-05 12:00:00,109,44487.603845887934,1.0
2050-01-05 13:00:00,110,44487.603845887934,1.0
2050-01-05 14:00:00,111,43909.2649958914,0.9870000000000001
2050-01-05 15:00:00,112,42819.318701667136,0.9625
2050-01-05 16:00:00,113,41444.6517428292,0.9316
2050-01-05 17:00:00,114,40096.6773462988,0.9013000000000001
2050-01-05 18:00:00,115,39126.84758245844,0.8795000000000001
2050-01-05 19:00:00,116,38681.971543999556,0.8694999999999999
2050-01-05 20:00:00,117,38548.508732461894,0.8665
2050-01-05 21:00:00,118,38286.031869771155,0.8606
2050-01-05 22:00:00,119,37400.72855323799,0.8407000000000001
2050-01-05 23:00:00,120,35487.7615878648,0.7976999999999999
2050-01-06 00:00:00,121,33049.840897110145,0.7429
2050-01-06 01:00:00,122,33049.840897110145,0.7429
2050-01-06 02:00:00,123,33494.71693556903,0.7529
2050-01-06 03:00:00,124,33147.7136255711,0.7451
2050-01-06 04:00:00,125,33209.996270955344,0.7465
2050-01-06 05:00:00,126,34562.419427870336,0.7769
2050-01-06 06:00:00,127,37351.79218900751,0.8396
2050-01-06 07:00:00,128,40732.850081294986,0.9155999999999999
2050-01-06 08:00:00,129,43277.54102127979,0.9728000000000001
2050-01-06 09:00:00,130,44265.16582665849,0.995
2050-01-06 10:00:00,131,44291.85838896603,0.9956
2050-01-06 11:00:00,132,44314.102190888974,0.9961000000000001
2050-01-06 12:00:00,133,44487.603845887934,1.0
2050-01-06 13:00:00,134,44487.603845887934,1.0
2050-01-06 14:00:00,135,43909.2649958914,0.9870000000000001
2050-01-06 15:00:00,136,42819.318701667136,0.9625
2050-01-06 16:00:00,137,41444.6517428292,0.9316
2050-01-06 17:00:00,138,40096.6773462988,0.9013000000000001
2050-01-06 18:00:00,139,39126.84758245844,0.8795000000000001
2050-01-06 19:00:00,140,38681.971543999556,0.8694999999999999
2050-01-06 20:00:00,141,38548.508732461894,0.8665
2050-01-06 21:00:00,142,38286.031869771155,0.8606
2050-01-06 22:00:00,143,37400.72855323799,0.8407000000000001
2050-01-06 23:00:00,144,35487.7615878648,0.7976999999999999
2050-01-07 00:00:00,145,33049.840897110145,0.7429
2050-01-07 01:00:00,146,33049.840897110145,0.7429
2050-01-07 02:00:00,147,33494.71693556903,0.7529
2050-01-07 03:00:00,148,33147.7136255711,0.7451
2050-01-07 04:00:00,149,33209.996270955344,0.7465
2050-01-07 05:00:00,150,34562.419427870336,0.7769
2050-01-07 06:00:00,151,37351.79218900751,0.8396
2050-01-07 07:00:00,152,40732.850081294986,0.9155999999999999
2050-01-07 08:00:00,153,43277.54102127979,0.9728000000000001
2050-01-07 09:00:00,154,44265.16582665849,0.995
2050-01-07 10:00:00,155,44291.85838896603,0.9956
2050-01-07 11:00:00,156,44314.102190888974,0.9961000000000001
2050-01-07 12:00:00,157,44487.603845887934,1.0
2050-01-07 13:00:00,158,44487.603845887934,1.0
2050-01-07 14:00:00,159,43909.2649958914,0.9870000000000001
2050-01-07 15:00:00,160,42819.318701667136,0.9625
2050-01-07 16:00:00,161,41444.6517428292,0.9316
2050-01-07 17:00:00,162,40096.6773462988,0.9013000000000001
2050-01-07 18:00:00,163,39126.84758245844,0.8795000000000001
2050-01-07 19:00:00,164,38681.971543999556,0.8694999999999999
2050-01-07 20:00:00,165,38548.508732461894,0.8665
