day_of_year,demand,normalized_demand
1,409236.0329996524,0.7134794474495403
2,469727.5050002017,0.8189428439691667
3,498609.8856455148,0.869297610710498
4,495305.1137305563,0.8635359312646577
5,489262.95206034486,0.8530017704815408
6,398146.07623477466,0.6941447467223172
7,449659.8153210073,0.7839559831129707
8,449485.64538283367,0.7836523278596941
9,453897.87846878235,0.7913448020563245
10,462285.246467217,0.8059676949653763
11,500053.45825763134,0.871814396395514
12,473025.5177577932,0.8246927392135327
13,338514.06640571513,0.5901797729850728
14,380480.17260128027,0.6633452614699198
15,396777.68719936087,0.6917590392719573
16,426471.32439165475,0.7435281850664649
17,436425.0629240214,0.7608819547628303
18,490720.9758891666,0.8555437510303476
19,477573.5436549823,0.8326219603535379
20,363012.3724018694,0.6328911581421094
21,433695.3767987869,0.756122904260685
22,443165.9757091018,0.7726343478596738
23,436841.3143024508,0.7616076650608826
24,453172.7022102571,0.7900804990269856
25,521602.5977661202,0.9093840796827692
26,490030.5983551312,0.8543401175724026
27,364180.95158346376,0.6349285086233797
28,457559.1843800634,0.7977280779848319
29,475750.52222202485,0.8294436275094301
30,452666.310408546,0.7891976340939308
31,474924.2808307716,0.8280031232435415
32,500175.74480653094,0.872027595948593
33,486810.6147226227,0.8487262616123612
34,363688.0904305283,0.6340692335969647
35,407546.94241479033,0.7105346153233315
36,475796.23305643396,0.8295233217158215
37,442351.15605703584,0.7712137567380519
38,471281.4480830594,0.8216520542114776
39,520096.5551979465,0.9067583812282615
40,510607.60161730554,0.8902149373189716
41,366434.7843903565,0.6388579362789031
42,416635.4311550624,0.7263798718542153
43,508576.6897893458,0.8866741595477418
44,460341.16974173754,0.8025783091927512
45,461723.8220773695,0.8049888838853329
46,539950.1593200801,0.9413719962491895
47,517090.4267440392,0.901517369451916
48,393937.17621159065,0.6868067720066005
49,423674.94939014665,0.7386528663504822
50,476770.02582594,0.8312210733092598
51,482086.6165348274,0.8404902429214468
52,496381.93706376036,0.8654133107103134
53,531957.9796500065,0.927438091423838
54,506286.43919463345,0.8826812395771835
55,389080.4051490483,0.6783392714576091
56,467797.2334791508,0.815577526775145
57,480186.99546876067,0.8371783630299174
58,477865.98949345323,0.8331318228251089
59,495771.9605213755,0.8643498517494103
60,501815.2902291747,0.8748860489387708
61,372653.84740997286,0.6497005143734217
62,457649.8760402,0.7978861936695341
63,488653.15460372774,0.8519386237463566
64,479386.45496874035,0.8357826667872653
65,494712.9748219823,0.8625035711906779
66,528482.5426606004,0.9213788672527122
67,526511.8757128617,0.9179431229594405
68,417059.5143383135,0.7271192364527839
69,468041.5774666755,0.8160035264407386
70,504863.5983895296,0.880200598603335
71,492249.8050114229,0.8582091765291652
72,503537.46092121955,0.8778885543261079
73,503954.87267550547,0.8786162876726168
74,512768.75379046303,0.8939827816289082
75,417769.1268788666,0.7283564050364641
76,479291.0244671635,0.8356162892055167
77,518647.9040775916,0.9042327414567048
78,496567.198588703,0.8657363035061355
79,514590.114847894,0.8971582197039397
80,533388.0938993562,0.9299314132287061
81,534116.5804192491,0.9312014875080356
82,422688.8842055233,0.7369337185083007
83,466981.76370792964,0.8141558022082294
84,506806.9657900557,0.8835887477087682
85,486772.6046325385,0.8486599932100606
86,509039.3410218366,0.8874807653182548
87,536458.5087782372,0.9352845046834527
88,506089.4966147053,0.8823378815349396
89,400517.8137395221,0.6982797344260613
90,431334.96054119297,0.752007654499136
91,504805.7936119448,0.8800998193037488
92,490904.7071698758,0.8558640759335062
93,496625.93091469933,0.8658386999329412
94,482653.69905903284,0.8414789186327782
95,514051.34780548234,0.896218910403861
96,411581.4476149277,0.7175685427119511
97,475742.84794761345,0.8294302478541087
98,502614.3037490884,0.8762790829795761
99,488341.87962533685,0.8513959337540817
100,493178.3383950714,0.8598280209907538
101,535162.9616837386,0.9330257929606547
102,526511.3847356797,0.9179422669690089
103,391452.71245700214,0.6824752525804171
104,463894.65249247267,0.8087736016525383
105,517521.57825519994,0.9022690572729888
106,486028.77692751767,0.8473631724582662
107,500717.2209803949,0.8729716284632858
108,544141.870896225,0.9486800038977199
109,525026.6022129309,0.9153536341789085
110,372079.27740201773,0.6486987846655266
111,470335.9755444786,0.8200036773091292
112,507603.041955051,0.8849766606404945
113,492448.9479202311,0.8585563707180505
114,510860.3994096375,0.8906556757062231
115,548744.6997784231,0.9567047708848886
116,517685.71364673873,0.9025552178722978
117,389146.23597537895,0.678454043710803
118,463043.1873202148,0.8072891211776101
119,504690.906194333,0.8798995197098061
120,485100.2310282206,0.8457443061763654
121,503674.551941714,0.8781275646225271
122,532488.0016501311,0.928362154246491
123,507592.09975693177,0.8849575835484537
124,387522.0920115828,0.6756224422768482
125,462548.1233305471,0.806426005632258
126,504575.1698209704,0.8796977400104201
127,493802.41488496854,0.8609160623978467
128,509175.1833692364,0.8877175986250696
129,545992.4738333893,0.9519064235054422
130,533219.2940251471,0.9296371203725823
131,397600.7648011777,0.6931940276532293
132,445475.74040703085,0.7766612895449829
133,501024.6663313426,0.8735076417207384
134,501383.1928441557,0.8741327120411178
135,509207.4631457678,0.8877738765558143
136,532824.9622519974,0.9289496256435469
137,531669.053013694,0.926934364478489
138,402525.55589272914,0.7017801172041646
139,478418.551015067,0.8340951820049766
140,515433.28071247577,0.8986282308140577
141,514263.6970113975,0.8965891290109377
142,514738.0439994298,0.8974161256574449
143,551634.8783812813,0.9617436307758003
144,521262.79560341703,0.9087916541880967
145,390751.67763257277,0.6812530387506364
146,399326.30331355345,0.6962024046412932
147,461080.5216220164,0.80386732660196
148,468725.1808056054,0.8171953494797788
149,503239.55604161264,0.8773691743308115
150,514208.7423692542,0.8964933187582974
151,515186.0473121022,0.8981971936236212
152,399818.10041500983,0.6970598245552545
153,461708.5761909919,0.8049623035607489
154,508511.4903623048,0.8865604881028344
155,502407.9839095086,0.8759193762253535
156,512853.4944282286,0.8941305220489448
157,548842.6252919476,0.9568754983762304
158,526231.1611906843,0.9174537133619862
159,420554.94845055323,0.7332133244555361
160,479254.4901885596,0.8355525937955103
161,517670.5442600762,0.9025287709205598
162,510817.5868371988,0.8905810344526083
163,521806.5567629949,0.9097396704437437
