LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
ID_E,49329090.23574882,4328136.270148011,45000953.96560081
MT_NE,2383286324.260256,183636014.24807686,2199650310.012179
MT_NW,3841653451.2843776,217329986.53795967,3624323464.746418
MT_SE,2668584298.6068826,302673165.5057353,2365911133.101147
MT_SW,4087235107.5658345,405092551.0675184,3682142556.4983163
WA_ID_AVA,16923.667466166255,0.0,16923.667466166255
WY_NE,83121812.60951695,22075265.500142917,61046547.10937403
WY_NW,2576.0063131470047,340.2015733157692,2235.8047398312356
