Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1007217,110000468093.0,HF Sinclair Parco Refining Company LLC,SINCLAIR,WY,82334,100 EAST LINCOLN AVENUE,CARBON COUNTY,41.77899,-107.104,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",1120937.35,1110701.5,8090.25,2145.6,,,,,,,,,,596966.522,,,,,,,,,,,293221.6,,,,,,,,,,,,,,230749.228,,,,,,,,,,,,N,N,N,POINT (-107.104 41.77899),True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,ANACORTES,WA,98221,8505 SOUTH TEXAS ROAD,SKAGIT COUNTY,48.472836,-122.560194,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",1907857.794,1897429.2,6434.5,3994.094,,,,,,,,,,1414210.332,,,,,,,,,,,,,,,,,,,,,,,,,493647.462,,,,,,,,,,,,N,N,N,POINT (-122.560194 48.472836),True,True
1005769,110055108431.0,HOLLYFRONTIER WOODS CROSS REFINING LLC,WEST BOUNTIFUL,UT,84087,1070 WEST 500 SOUTH,DAVIS COUNTY,40.884195,-111.910878,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",395778.616,393277.1,1334.25,1167.266,,,,,,,,,,245800.224,,,,,,,,,,,,,,,,,,,,,,,,,149978.392,,,,,,,,,,,,N,N,Y,POINT (-111.910878 40.884195),True,True
1004267,110000481611.0,Kern Energy,BAKERSFIELD,CA,93307,7724 E PANAMA LN,KERN COUNTY,35.295278,-118.921111,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",142322.332,141523.5,408.75,390.082,,,,,,,,,2552.6,140792.592,,,,,,,,,,,,,,,,,,,,,,,,,1529.74,,,,,,,,,,,,N,N,N,POINT (-118.921111 35.295278),True,True
1002286,110001187144.0,LUNDAY-THAGARD COMPANY,SOUTH GATE,CA,90280,9301 SOUTH GARFIELD AVENUE,LOS ANGELES COUNTY,33.946295,-118.16704,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",36985.758,35967.6,959.75,58.408,,,,,,,,,,35716.248,,,,,,,,,,,,,,,,,,,,,,,,,1269.51,,,,,,,,,,,,N,N,N,POINT (-118.16704 33.946295),True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),CARSON,CA,90810,2350 E. 223rd Street,LOS ANGELES COUNTY,33.82431,-118.23237,324110.0,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",6263565.33,6235735.7,17642.5,10187.13,,,,,,,,,,4444371.502,,,,,,,,,,,919409.4,,,,,,,,,,,,,,899784.428,,,,,,,,,,,,N,Y,Y,POINT (-118.23237 33.82431),True,True
1001804,110000483245.0,MARTINEZ REFINING COMPANY LLC,MARTINEZ,CA,94553,3485 PACHECO BLVD,CONTRA COSTA COUNTY,38.016594,-122.115392,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",2571283.526,2562144.6,4233.25,4905.676,,,,,,,,,,1925520.122,,,,,,,,,,,,,,,,,,,,,,,,,645763.404,,,,,,,,,,,,N,N,N,POINT (-122.115392 38.016594),True,True
1003564,110043783420.0,Marathon El Paso Refinery,EL PASO,TX,79905,212 North Clark Street,EL PASO COUNTY,31.76945,-106.41426,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",808678.798,801288.4,5058.25,2332.148,,,,,,,,,,538011.07,,,,,,,,,,,17892.5,,,,,,,,,,,,,,252775.228,,,,,,,,,,,,N,N,N,POINT (-106.41426 31.76945),False,True
1007972,110000472630.0,"NAVAJO REFINING COMPANY, LLC - Artesia Refinery",ARTESIA,NM,88210,501 East Main Street,EDDY COUNTY,32.848593,-104.394383,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",831370.232,826050.2,3879.5,1440.532,,,,,,,,,,412130.812,,,,,,,,,,,161676.6,,,,,,,,,,,,,,257562.82,,,,,,,,,,,,N,N,N,POINT (-104.394383 32.848593),True,False
1007771,110061297788.0,"NAVAJO REFINING COMPANY, LLC - LOVINGTON REFINERY",LOVINGTON,NM,88260,7406 S. Main,LEA COUNTY,32.879253,-103.297137,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",124865.55,124186.3,604.75,74.5,,,,,,,,,,119366.79,,,,,,,,,,,,,,,,,,,,,,,,,5498.76,,,,,,,,,,,,N,N,N,POINT (-103.297137 32.879253),True,False
1003670,110071162431.0,PETRO STAR INC NORTH POLE REFINERY,NORTH POLE,AK,99705,1200 H AND H LANE,FAIRBANKS NORTH STAR BOROUGH,64.749575,-147.377411,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",37923.97,37512.7,339.75,71.52,,,,,,,,,,37613.97,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,N,N,N,POINT (-147.377411 64.749575),True,False
1005997,110071159424.0,PETRO STAR VALDEZ REFINERY,VALDEZ,AK,99686,2.5 MILE DAYVILLE ROAD,VALDEZ-CORDOVA CENSUS AREA,61.08276,-146.25017,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",79858.92,78456.3,1234.25,168.37,,,,,,,,,,48843.77,,,,,,,,,,,19795.5,,,,,,,,,,,,,,11219.65,,,,,,,,,,,,N,N,N,POINT (-146.25017 61.08276),True,False
1007506,110043806085.0,PHILLIPS 66 BILLINGS REFINERY,BILLINGS,MT,59101,401 SOUTH 23RD STREET,YELLOWSTONE COUNTY,45.776389,-108.484444,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",834082.866,827530.2,5072.5,1480.166,,,,,,,,,,360060.34,,,,,,,,,,,274322.8,,,,,,,,,,,,,,199699.726,,,,,,,,,,,,N,N,N,POINT (-108.484444 45.776389),True,True
1008018,110000490139.0,PHILLIPS 66 FERNDALE REFINERY,FERNDALE,WA,98248,3901 UNICK ROAD,WHATCOM COUNTY,48.830142,-122.692114,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",718028.26,714223.1,2003.75,1801.41,,,,,,,,,,446989.788,,,,,,,,,,,,,,,,,,,,,,,,,271038.472,,,,,,,,,,,,N,N,N,POINT (-122.692114 48.830142),True,True
1006099,110000481755.0,PHILLIPS 66 SANTA MARIA REFINERY,ARROYO GRANDE,CA,93420,2555 WILLOW ROAD,SAN LUIS OBISPO COUNTY,35.038889,-120.589722,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",145314.036,144526.3,435.5,352.236,,,,,,,,,,143013.936,,,,,,,,,,,,,,,,,,,,,,,,,2300.1,,,,,,,,,,,,N,N,N,POINT (-120.589722 35.038889),True,True
1007000,110000428421.0,"Par Montana, LLC Billings Refinery",Billings,MT,59101,700 Par Montana Road,YELLOWSTONE COUNTY,45.810555,-108.43166,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",621036.774,617837.0,1877.25,1322.524,,,,,,,,,,326224.348,,,,,,,,,,,103850.8,,,,,,,,,,,,,,190961.626,,,,,,,,,,,,N,N,N,POINT (-108.43166 45.810555),True,True
1013281,110000486304.0,Par West Refinery,Kapolei,HI,96707,"91-480 Malakole Street, Bldg. CCB",HONOLULU COUNTY,21.313495,-158.113794,324110.0,"C,P,Y","Chemicals,Refineries",0.1,0.1,,,,,,,,,,,,0.1,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,N,N,N,POINT (-158.113794 21.313495),True,False
1001964,110038102969.0,Phillips 66 Los Angeles Refinery - Carson Plant,CARSON,CA,90745,1520 EAST SEPULVEDA BOULEVARD,LOS ANGELES COUNTY,33.808333,-118.245833,324110.0,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",959902.26,955086.2,2590.0,2226.06,,,,,,,,,,640712.712,,,,,,,,,,,307815.4,,,,,,,,,,,,,,11374.148,,,,,,,,,,,,N,Y,N,POINT (-118.245833 33.808333),True,True
1006843,110000476235.0,Phillips 66 Los Angeles Refinery - Wilmington Plant,WILMINGTON,CA,90744,1660 WEST ANAHEIM STREET,LOS ANGELES COUNTY,33.774469,-118.290696,324110.0,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",1637058.576,1630869.1,2893.0,3296.476,,,,,,,,,,820923.118,,,,,,,,,,,372889.2,,,,,,,,,,,,,,443246.258,,,,,,,,,,,,N,Y,Y,POINT (-118.290696 33.774469),True,True
1006932,110071162280.0,REFINERY KAPOLEI,KAPOLEI,HI,96707,91-325 KOMOHANA STREET,HONOLULU COUNTY,21.304291,-158.091296,324110.0,"C,P,Y","Chemicals,Refineries",582693.654,580397.6,903.5,1392.554,,,,,,,,,,491522.21,,,,,,,,,,,88376.9,,,,,,,,,,,,,,2794.544,,,,,,,,,,,,N,N,N,POINT (-158.091296 21.304291),True,False
1006395,110000483487.0,SAN FRANCISCO REFINERY AT RODEO,RODEO,CA,94572,1380 SAN PABLO AVENUE,CONTRA COSTA COUNTY,38.0436,-122.2532,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",1295946.842,1289765.1,2537.5,3644.242,,,,,,,,,87878.4,986262.978,,,,,,,,,,,124298.8,,,,,,,,,,,,,,185385.064,,,,,,,,,,,,N,N,N,POINT (-122.2532 38.0436),True,True
1002565,110000481684.0,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,CA,93308,3500 SHELL STREET,KERN COUNTY,35.39511,-119.04652,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",92409.3,91857.1,507.5,44.7,,,,,,,,,,62400.708,,,,,,,,,,,28593.1,,,,,,,,,,,,,,1415.492,,,,,,,,,,,,N,N,N,POINT (-119.04652 35.39511),True,True
1009291,110000600378.0,"SILVER EAGLE REFINING, INCORPORATED",EVANSTON,WY,82930,2990 COUNTY ROAD 180,UINTA COUNTY,41.2616,-110.807,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",11342.89,10791.4,475.5,75.99,,,,,,,,,,6663.95,,,,,,,,,,,,,,,,,,,,,,,,,4678.94,,,,,,,,,,,,N,N,N,POINT (-110.807 41.2616),True,True
