LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
ID_E,50008582.11264145,5014922.284283698,44993659.82835775
MT_NE,2233000140.593305,236608969.23245147,1996391171.3608537
MT_NW,3785115154.6707683,257651485.03486606,3527463669.6359024
MT_SE,2501509857.0265083,317578091.4107354,2183931765.6157727
MT_SW,4082570189.7436357,469324554.8426326,3613245634.901003
WA_ID_AVA,16877.681806357778,3804.9995586622335,13072.682247695544
WY_NE,63288665.06341229,17469365.01433621,45819300.04907608
WY_NW,7073.312924516964,1044.5226011182242,6028.79032339874
