registry_id,primary_name,latitude83,longitude83,naics_code,inWECC,inGHGRP
110000485118,PILKINGTON NORTH AMERICA INCORPORATED,37.81075,-121.28575,327211,True,False
110071810134,GUARDIAN INDUSTRIES CORP.,36.55153,-119.57059,327211,True,False
110071810134,GUARDIAN INDUSTRIES CORP.,36.55153,-119.57059,327211,True,False
110017432740,"GUARDIAN INDUSTRIES, LLC",36.54681,-119.58144,327211,True,False
110017432740,"GUARDIAN INDUSTRIES, LLC",36.54681,-119.58144,327211,True,False
110017432740,"GUARDIAN INDUSTRIES, LLC",36.54681,-119.58144,327211,True,False
110071799158,"GUARDIAN INDUSTRIES, LLC",36.55141,-119.56964,327211,True,False
110017432740,"GUARDIAN INDUSTRIES, LLC",36.54681,-119.58144,327211,True,False
110017432740,"GUARDIAN INDUSTRIES, LLC",36.54681,-119.58144,327211,True,False
110005352297,GLASSIFICATION INTL LTD,47.54674,-122.06704,327211,True,False
110071678106,SAINT GOBAIN GLASS CORPORATION-SEKURIT,33.739972,-118.024523,327211,True,False
110070287899,"QUANEX IG SYSTEMS, INC.",33.5122,-112.16877,327211,True,False
110031421423,CARDINAL CG,38.27101,-121.3084,327211,True,False
110031421423,CARDINAL CG,38.27101,-121.3084,327211,True,False
110031421423,CARDINAL CG,38.27101,-121.3084,327211,True,False
110001177725,GUARDIAN INDUSTRIES CORP,33.872298,-117.966911,327211,True,False
110001177725,GUARDIAN INDUSTRIES CORP,33.872298,-117.966911,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110000899001,"KINDER MORGAN ENERGY PARTNERS, LP, FRESNO TERMINAL",36.675128,-119.745389,327211,True,False
110071809044,PPG INDUSTRIES INC.,36.687,-119.718,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110071802727,VITRO FLAT GLASS LLC,36.6869,-119.7174,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110071809044,PPG INDUSTRIES INC.,36.687,-119.718,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110017403585,VITRO FLAT GLASS LLC,36.699722,-119.716944,327211,True,False
110021102741,BRADLEY NAMEPLATE CORPORATION,37.462406,-121.918308,327211,True,False
110010487419,HOYA CORPORATION USA,37.50894,-121.94564,327211,True,False
110000490442,MILGARD MANUFACTURING INC FIBERGLASS,47.248719,-122.358186,327211,True,False
110000490442,MILGARD MANUFACTURING INC FIBERGLASS,47.248719,-122.358186,327211,True,False
110000490442,MILGARD MANUFACTURING INC FIBERGLASS,47.248719,-122.358186,327211,True,False
110070383050,STRATEGIC MATERIALS  INC,38.23288,-122.0675,327211,True,False
