day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
51,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
52,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
53,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
54,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
55,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
56,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
57,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
58,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
59,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
60,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
61,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
62,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
63,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
64,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
65,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
66,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
67,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
68,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
69,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
70,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
71,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
72,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
73,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
74,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
75,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
76,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
77,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
78,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
79,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
80,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
81,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
82,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
83,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
84,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
85,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
86,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
87,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
88,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
89,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
90,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
91,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
92,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
93,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
94,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
95,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
96,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
97,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
98,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
99,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
100,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
101,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
102,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
103,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
104,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
105,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
106,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
107,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
108,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
109,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
110,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
111,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
112,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
113,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
114,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
115,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
116,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
117,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
118,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
119,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
120,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
121,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
122,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
123,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
124,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
125,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
126,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
127,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
128,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
129,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
130,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
131,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
132,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
133,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
134,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
135,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
136,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
137,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
138,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
139,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
140,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
141,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
142,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
143,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
144,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
145,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
146,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
147,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
148,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
149,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
150,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
151,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
152,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
153,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
154,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
155,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
156,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
157,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
158,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
159,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
160,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
161,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
162,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
163,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
164,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
165,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
166,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
167,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
168,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
169,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
170,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
171,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
172,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
173,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
174,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
175,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
176,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
177,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
178,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
179,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
180,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
181,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
182,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
183,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
184,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
185,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
186,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
187,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
188,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
189,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
190,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
191,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
192,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
193,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
194,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
195,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
196,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
197,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
198,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
199,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
200,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
201,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
202,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
203,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
204,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
205,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
206,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
207,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
208,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
209,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
210,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
211,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
212,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
213,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
214,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
215,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
216,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
217,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
218,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
219,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
220,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
221,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
222,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
223,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
224,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
225,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
226,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
227,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
228,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
229,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
230,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
231,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
232,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
